CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,number of parameter,"number of parameter without *args, **kargs",lineno,PAR,class
3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,0,0,3,3,42,3,0
20,0,20,5,19,0,6,1,16,5,15,4,4,4,3,2,0,3,1,25,3,0
15,2,12,1,11,1,2,0,12,1,11,2,2,3,1,1,0.08,3,3,1251,3,0
5,0,2,1,1,3,1,0,2,1,1,1,1,1,1,0,1.5,3,3,1786,3,0
9,1,8,3,7,0,4,1,7,3,6,4,4,6,1,2,0,4,4,346,3,0
23,3,5,2,4,15,1,0,5,2,4,1,1,1,1,0,3,5,4,839,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,1,17,3,0
10,0,6,4,5,4,2,0,6,4,5,2,2,2,1,1,0.67,4,4,474,3,0
101,22,6,2,5,73,1,0,6,2,5,1,1,1,1,0,12.17,5,3,1145,5,1
19,2,10,7,6,7,1,0,5,4,4,1,1,1,1,0,0.7,8,8,323,4,1
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,71,3,0
5,0,2,1,1,3,1,0,2,1,1,1,1,1,1,0,1.5,5,5,139,5,0
5,0,2,1,1,3,1,0,2,1,1,1,1,1,1,0,1.5,4,4,650,4,0
9,0,7,3,6,2,1,0,7,3,6,1,1,1,1,0,0.29,4,4,2412,4,0
56,14,21,6,19,22,12,1,17,6,15,7,7,7,1,3,1.05,6,6,2639,3,0
18,2,8,3,5,9,1,0,2,1,1,1,1,1,1,0,1.12,5,4,1338,3,0
10,1,2,1,1,7,1,0,2,1,1,1,1,1,1,0,3.5,4,4,910,3,0
15,1,13,5,11,1,2,0,10,4,9,2,2,2,1,1,0.08,10,9,2935,3,0
